Name,No. Posts,No. Followers,No. Following,No. Likes Ex 10 post,No. Likes Ex 11 post,No. Likes Ex 12 post,No. self posts from ex 9 posts, Sex,Date
User_477,624,"1,417",504,37,38,74,2,f,
User_478,193,871,"1,929",3,21,6,3,f,
User_479,"1,224",895,"1,249",45,51,59,4,f,
User_480,56,194,422,25,24,86,8,m,
User_481,289,649,699,65,71,141,1,f,
User_482,85,422,"1,929",25,58,25,8,m,
User_483,181,230,898,45,67,57,8,m,
User_484,198,510,912,108,86,94,0,f,
User_485,849,"1,564","1,681",35,31,33,1,f,
User_486,"2,345","2,675","5,384",106,98,90,1,f,
User_487,225,208,229,30,12,49,2,f,
User_488,62,312,"1,090",80,72,56,7,m,
User_489,203,374,"1,124",126,83,89,7,m,
User_490,728,590,525,43,103,46,3,f,
User_491,440,"1,073","2,138",26,65,31,1,m,
User_492,353,655,758,107,161,140,6,f,
User_493,268,519,675,83,82,52,1,m,
User_494,"1,894","1,305","6,072",86,69,114,5,m,
User_495,163,"8,400","5,051",188,167,207,0,m,
User_496,"1,825","5,852","7,122",161,129,214,0,m,
User_497,64,113,256,5,8,11,1,f,Mar 27 2017
User_498,73,"2,853","6,425",107,137,222,8,f,
User_499,361,"4,026",938,378,311,354,4,m,
User_500,67,154,393,32,36,23,7,f,
User_501,679,1259,703,82,39,88,5,f,
User_502,158,"1,224",245,154,138,138,7,f,
User_503,187,"3,878","1,660",127,171,118,8,f,
User_504,336,288,264,48,18,25,0,f,
User_505,159,"1,178",762,192,226,209,9,f,
User_506,96,843,"4,917",114,43,36,6,m,
User_507,395,647,944,25,26,34,4,f,
User_508,268,"6,006","6,116",236,250,432,6,f,
User_509,110,"9,462","1,008",646,418,603,9,m,
User_510,257,534,756,31,39,18,4,f,
User_511,92,"3,185","2,177",259,185,133,2,f,
User_512,63,483,330,43,31,34,9,f,
User_513,210,762,"2,093",13,16,29,7,f,
User_514,97,"1,526","2,702",201,212,233,7,m,
User_515,77,921,"2,127",29,52,44,4,m,
User_516,233,436,494,5,6,1,9,m,
User_517,83,738,"1,907",64,72,69,9,m,
User_518,67,569,"1,184",20,15,19,8,m,
User_519,62,"1,298",996,53,55,43,9,m,
User_520,440,"2,141","4,920",57,49,21,8,f,
User_521,93,933,501,41,30,34,9,f,
User_522,143,132,374,5,3,6,0,m,
User_523,247,"1,108",958,17,25,13,9,m,
User_524,104,185,"1,208",18,11,7,7,m,
User_525,51,16,32,0,1,2,1,m,
User_526,80,"4,677",421,280,156,45,8,f,
User_527,127,"6,528",977,1015,687,729,9,m,
User_528,105,104,311,5,3,8,9,f,
User_529,81,64,174,1,0,0,9,m,
User_530,66,"1,483","1,076",22,37,35,2,f,
User_531,"1,208","1,131","4,759",8,8,7,0,m,
User_532,203,"6,054","6,553",211,236,224,9,m,
User_533,"1,352",774,"2,795",59,57,51,9,m,
User_534,143,"7,611","3,985",1154,1266,1447,9,m,
User_535,734,621,"1,248",22,50,45,4,m,
User_536,240,"1,270","6,411",125,112,185,1,f,
User_537,219,"1,224","1,146",20,11,80,5,f,
User_538,67,134,104,22,13,25,4,f,
User_539,52,832,"2,282",37,25,36,5,f,
User_540,90,"6,449","4,374",503,130,542,6,f,
User_541,264,104,55,20,19,11,1,m,
User_542,"1,635",663,846,4,9,33,3,f,
User_543,181,"8,834","4,587",516,609,752,2,m,
User_544,73,610,"1,293",32,76,85,3,m,
User_545,231,"3,106","3,841",114,98,84,9,m,
User_546,248,512,"1,660",62,42,65,0,m,
User_547,127,189,690,17,39,22,5,m,
User_548,717,"1,656","1,390",124,124,116,5,f,
User_549,290,"2,662","3,964",125,113,152,0,m,
User_550,173,"2,949",472,95,67,110,8,f,
User_551,79,"1,976","7,140",181,192,112,9,m,
User_552,132,"7,303","1,936",797,1209,1185,9,f,
User_553,982,596,"1,837",46,56,25,4,f,
User_554,583,"2,437","7,499",23,21,18,0,f,
User_555,51,"2,930","5,091",86,112,81,8,f,
User_556,159,"2,471","1,380",307,301,294,3,f,
User_557,497,"2,902","3,685",490,544,481,0,m,
User_558,"1,708",774,"1,420",31,49,33,1,f,
User_559,59,"4,691","1,081",1141,1196,1467,8,m,
User_560,335,"1,180","3,073",116,103,47,1,f,
User_561,"1,495","4,137","3,642",122,116,102,0,f,
User_562,321,651,564,96,92,157,8,f,
User_563,399,"8,066","2,153",771,342,343,6,f,
User_564,420,"1,780","4,992",56,70,74,1,f,
User_565,170,"3,112","7,462",63,88,103,9,m,
User_566,947,"1,064","4,105",96,22,42,0,f,
User_567,139,155,473,36,45,35,2,f,Mar 29 2017
User_568,273,"4,433","6,733",75,92,113,1,f,
User_569,60,175,295,16,6,6,9,f,
